+--------------+--------+------------+----------+------+-------+-------+-------+------+-------+-------+-------+-------+-------+
|     行业     |  代码  |    名称    | 涨幅统计 |  9   |   8   |   7   |   6   |  5   |   4   |   3   |   2   |   1   |   0   |
+--------------+--------+------------+----------+------+-------+-------+-------+------+-------+-------+-------+-------+-------+
|   电网设备   | 300356 |  *ST光一   |  39.0%   | 1.9  |  0.7  | -4.0  |  3.4  | 1.1  |  1.1  | -2.1  | 19.9  | -0.3  | 14.2  |
|   专用设备   | 002334 |   英威腾   |  38.1%   |      |       |       |       |      | 10.0  | 10.1  |  8.1  |  3.0  |  2.4  |
|   电源设备   | 002518 |   科士达   |  37.8%   | 0.1  | -3.2  | -5.3  | 10.0  | 10.0 |  7.8  |  1.7  | -0.4  | 10.0  |  3.3  |
|   专用设备   | 688596 |  正帆科技  |  37.3%   | 8.7  |  4.9  |  1.0  | 12.8  | 7.8  | -2.5  |  1.6  | -5.0  |  1.6  |  2.6  |
|   电子元件   | 002199 |  东晶电子  |  36.4%   | 2.0  |  9.9  | 10.0  | 10.0  | -3.9 | -7.7  | 10.0  |  2.0  | -3.9  |  5.2  |
|   专用设备   | 301338 |   N凯格    |  35.2%   |      |       |       |       | 73.1 | -15.2 | -3.0  | -5.1  |  1.9  | -1.9  |
|  光学光电子  | 000045 |  深纺织Ａ   |  34.8%   |      |       |       |       |      | 10.1  | 10.1  | 10.0  | 10.0  | -8.0  |
|    半导体    | 688380 |   N中微    |  34.5%   | 82.1 | -14.4 | -3.6  | -2.3  | 1.5  | -7.2  | -1.8  |  0.8  | -2.3  |  0.6  |
|     证券     | 000728 |  国元证券  |  34.1%   |      | 10.0  | 10.1  | -7.7  | -1.0 | 10.0  |  0.0  | -3.0  |  8.2  |  5.0  |
|   家电行业   | 603366 |  日出东方  |  33.9%   | 10.1 | 10.0  | -10.0 | 10.0  | 0.1  |  0.4  |  5.5  | 10.0  |  3.6  | -7.5  |
|      —       | 834062 |  科润智控  |  33.6%   | 14.7 |  2.1  | -2.4  |  1.1  | 1.4  |  3.4  | 11.5  | -2.7  |  2.8  | -1.1  |
|   通信设备   | 300698 |  万马科技  |  33.5%   |      | 20.0  |  0.1  |  7.3  | 2.9  |  0.2  |  7.2  | -1.4  |  0.9  | -5.9  |
