+--------------+--------+------------+----------+-------+-------+-------+-------+-------+------+-------+-------+-------+-------+
|     行业     |  代码  |    名称    | 涨幅统计 |   9   |   8   |   7   |   6   |   5   |  4   |   3   |   2   |   1   |   0   |
+--------------+--------+------------+----------+-------+-------+-------+-------+-------+------+-------+-------+-------+-------+
|    半导体    | 000670 |   盈方微   |  429.8%  |       |       |       |       |       |      |       |       | 488.4 | -10.0 |
|   多元金融   | 001236 |   N弘业    |  160.2%  | 10.2  | 10.2  | 10.1  |  9.9  |  9.9  | 10.1 |  9.9  | 10.1  | 10.0  | 10.0  |
|  光学光电子  | 688401 |   N路维    |  102.5%  |       |       |       |       |       |      |       |       | 129.2 | -11.6 |
|    半导体    | 688403 |   N汇成    |  90.8%   |       |       |       |       |       |      |       |       |       | 90.8  |
|   家用轻工   | 301336 |   N趣睡    |  90.2%   |       |       |       | 171.0 | -18.8 | -4.4 | -1.3  | -4.5  | -2.5  | -1.6  |
|  汽车零部件  | 301192 |   N泰祥    |  78.8%   |       |       | 80.3  | -0.4  | -11.6 | -1.7 | -6.9  | 20.0  |  6.2  | -3.4  |
|   通用设备   | 300421 |  力星股份  |  75.3%   |       |       |       |       | 11.7  | 6.1  | 20.0  |  8.2  | 13.8  |  0.1  |
|   文化传媒   | 001330 |   N博纳    |  74.3%   |       |       |       |       |       |      |       | 43.9  | 10.1  | 10.1  |
|   家用轻工   | 001222 |   N源飞    |  74.2%   |       |       |       |       |       |      |       | 44.0  | 10.0  | 10.0  |
|   消费电子   | 002045 |  国光电器  |  73.9%   |       | 10.1  | 10.0  | 10.0  | -2.2  | 10.0 | -1.9  | 10.0  | 10.0  |  2.3  |
|  计算机设备  | 001339 |   N智微    |  64.0%   |       |       |       |       | 44.0  | 10.0 | 10.0  |  2.2  | -8.6  |  0.7  |
|   电网设备   | 688226 |  威腾电气  |  60.8%   |       |       |       | 20.0  | 20.0  | -6.2 | 10.2  |  3.4  |  4.5  |  0.0  |
|    半导体    | 688041 |   N海光    |  60.1%   |       |       |       |       |       | 66.9 | -5.5  |  6.8  | -5.0  |  0.0  |
|   专用设备   | 688160 |  步科股份  |  60.0%   | -8.0  |  1.9  | 20.0  | 10.3  | 12.5  | 3.2  |  0.4  |  0.4  |  8.4  |  1.7  |
|   航运港口   | 600428 |  中远海特  |  59.7%   |       |       |       | 10.1  |  0.6  | 7.8  |  1.5  | 10.0  |  9.0  | 10.0  |
|   家电行业   | 603366 |  日出东方  |  59.4%   | 10.0  | 10.1  | 10.0  | -10.0 | 10.0  | 0.1  |  0.4  |  5.5  | 10.0  |  3.6  |
|   食品饮料   | 002329 |  皇氏集团  |  55.9%   |       |       |       |       | 10.1  | 10.1 |  2.2  | 10.0  |  4.0  | 10.0  |
|   电力行业   | 001258 |  立新能源  |  55.2%   | 10.1  | 10.0  | 10.0  | 10.0  |  3.8  | 10.0 |  4.9  | -3.6  | -9.2  |  1.0  |
|   通用设备   | 000595 |  宝塔实业  |  54.3%   | -0.7  | 10.1  |  9.9  | 10.1  | 10.1  | 10.0 | 10.0  | -4.6  | -3.2  | -5.1  |
|   电力行业   | 000040 |  东旭蓝天  |  52.8%   | 10.0  | 10.1  | 10.1  | 10.0  | -2.6  | 1.2  |  5.8  | -4.7  | -4.6  | 10.1  |
|   消费电子   | 002866 |  传艺科技  |  52.1%   |  3.6  |  0.1  | -2.1  |  3.9  |  4.0  | 7.4  | -2.9  | 10.0  | 10.0  | 10.0  |
|   化学制品   | 603255 |  N鼎际得   |  51.7%   |       |       |       |       |       |      |       | 44.0  | 10.0  | -4.3  |
|   电子元件   | 301021 |  英诺激光  |  51.6%   |       | 11.8  |  7.2  | -3.9  | 17.0  | 8.3  | 20.0  |  1.9  | -12.8 | -2.6  |
|   光伏设备   | 603628 |  清源股份  |  51.5%   | 10.0  | 10.0  |  0.5  | -4.7  | 10.0  | 10.0 | -2.2  | 10.0  | -0.4  |  0.8  |
|   专用设备   | 002689 |  远大智能  |  50.0%   | -2.2  | -0.2  |  1.5  |  5.7  |  0.9  | 10.0 | 10.0  | 10.0  | 10.0  | -3.0  |
