+--------------+--------+------------+----------+-------+-------+-------+-------+-------+-------+-------+-------+-------+------+
|     行业     |  代码  |    名称    | 涨幅统计 |   9   |   8   |   7   |   6   |   5   |   4   |   3   |   2   |   1   |  0   |
|   工程建设   | 002374 |  中锐股份  |  35.8%   | -0.2  | -1.3  | 10.1  | 10.1  | 10.0  | -10.1 |  8.6  | 10.1  |  1.8  | -5.5 |
|   电源设备   | 300870 |   欧陆通   |  34.3%   |  1.1  |  4.8  | -6.1  | -1.0  | 12.1  | -2.6  |  1.7  | 11.8  | 11.3  | -1.4 |
|   煤炭行业   | 600348 |  华阳股份  |  33.9%   | -1.4  |  1.1  |  2.1  |  5.2  |  3.5  | 10.0  | 10.0  |  4.0  | -1.4  | -2.5 |
|   化学原料   | 002125 |  湘潭电化  |  33.5%   | -4.0  | -1.9  |  0.5  | 10.0  | -1.0  |  2.8  | 10.0  |  3.9  |  0.2  | 10.0 |
|   电网设备   | 002882 |   金龙羽   |  32.9%   | -2.8  | -0.9  | -2.5  | 10.0  | 10.0  | 10.0  | -4.0  |  6.7  | -5.7  | 10.0 |
|   文化传媒   | 002502 |  鼎龙文化  |  32.9%   |  0.0  |  5.5  |  2.9  |  0.3  | -2.0  | -4.6  | 10.0  | -1.9  | 10.1  | 9.9  |
|   环保行业   | 300187 |  永清环保  |  32.7%   | -0.5  | -0.8  | -1.0  |  3.5  | -0.3  | 19.9  | 20.0  | -10.8 |  1.7  | 0.9  |
|  汽车零部件  | 002863 |  今飞凯达  |  32.6%   | -0.2  |  0.7  | -2.4  |  0.9  |  2.2  | 10.0  | 10.1  |  1.1  |  3.4  | 3.5  |
|   塑料制品   | 002585 |  双星新材  |  32.6%   |  0.0  | -1.9  | -0.5  | 10.0  |  6.6  |  3.2  | 10.0  |  1.7  |  2.4  | -1.9 |
|   塑料制品   | 300610 |  晨化股份  |  32.4%   | -2.0  |  4.3  |  8.0  |  3.1  |  3.1  |  2.5  | -1.0  | 16.8  |  1.4  | -6.2 |
|   专用设备   | 603289 |  泰瑞机器  |  32.0%   |  1.5  |  6.2  | -1.5  |  2.3  |  0.5  |  1.2  |  3.0  | 10.0  |  2.9  | 2.4  |
|   医疗服务   | 002173 |  创新医疗  |  31.3%   |  1.7  |  1.5  | -1.6  | -0.5  |  1.7  | -8.5  |  5.0  | 10.0  | 10.0  | 9.9  |
|   家电行业   | 002011 |  盾安环境  |  30.3%   | -5.0  |  1.1  | -6.6  | 10.0  |  4.8  | 10.0  |  7.2  | -4.3  |  1.4  | 10.0 |
|   航运港口   | 600026 |  中远海能  |  30.2%   |  0.2  |  1.9  | -4.1  |  5.4  | -1.2  | -2.1  | 10.1  |  6.6  |  6.5  | 4.3  |
|   装修建材   | 000663 |  永安林业  |  29.4%   |  0.7  |  3.2  | -2.1  |  5.3  | -1.1  | 10.0  |  9.9  | -1.6  |  1.6  | 1.0  |
|   消费电子   | 002993 |  奥海科技  |  29.4%   |  8.0  |  2.3  |  0.7  |  7.1  | 10.0  |  4.2  |  0.3  | -1.5  | -3.6  | -0.5 |
|   医疗器械   | 688358 |  祥生医疗  |  29.4%   | -1.1  | -0.5  | -4.2  |  6.6  | 10.0  | -0.9  | -3.7  |  0.7  |  1.4  | 20.0 |
|   专用设备   | 002523 |  天桥起重  |  29.2%   | 10.0  | -7.2  | -2.3  | 10.0  | -7.6  | -0.3  |  9.9  |  9.9  | 10.1  | -3.7 |
|   通信服务   | 603421 |  鼎信通讯  |  29.2%   |  1.5  |  5.5  | -3.5  |  0.7  |  0.5  |  3.8  |  9.9  | 10.0  |  0.5  | -2.0 |
|  汽车零部件  | 603085 |  天成自控  |  29.0%   |  4.0  |  1.0  | -3.6  | -1.8  |  2.9  | -1.7  | 10.1  | 10.0  |  5.0  | 1.0  |
