+--------------+--------+------------+----------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
|     行业     |  代码  |    名称    | 涨幅统计 |   9   |   8   |   7   |   6   |   5   |   4   |   3   |   2   |   1   |   0   |
+--------------+--------+------------+----------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
|    半导体    | 000670 |   盈方微   |  344.5%  |       |       |       |       |       | 488.4 | -10.0 | -10.0 |  3.5  | -10.0 |
|   多元金融   | 001236 |   N弘业    |  159.2%  |  9.9  |  9.9  | 10.1  |  9.9  | 10.1  | 10.0  | 10.0  |  9.9  | 10.0  | 10.0  |
|   文化传媒   | 001330 |   N博纳    |  132.0%  |       |       |       |       | 43.9  | 10.1  | 10.1  | 10.0  | 10.0  | 10.0  |
|   家用轻工   | 001222 |   N源飞    |  131.9%  |       |       |       |       | 44.0  | 10.0  | 10.0  | 10.0  | 10.0  | 10.0  |
|   化学原料   | 301209 |   N联合    |  111.4%  |       |       |       |       |       |       |       |       | 160.9 | -19.0 |
|  光学光电子  | 688401 |   N路维    |  102.5%  |       |       |       |       |       |       |       |       | 129.2 | -11.6 |
|    半导体    | 688403 |   N汇成    |  90.8%   |       |       |       |       |       |       |       |       |       | 90.8  |
|   航运港口   | 600428 |  中远海特  |  88.9%   | 10.1  |  0.6  |  7.8  |  1.5  | 10.0  |  9.0  | 10.0  |  9.6  | 10.0  | -1.9  |
|   家用轻工   | 301336 |   N趣睡    |  78.5%   | 171.0 | -18.8 | -4.4  | -1.3  | -4.5  | -2.5  | -1.6  |  0.5  | -6.5  |  0.0  |
|     燃气     | 000593 |  德龙汇能  |  67.8%   |  2.8  |  2.5  | -1.2  |  0.2  |  0.0  |  9.9  |  9.9  | 10.0  | 10.0  | 10.0  |
|   食品饮料   | 002329 |  皇氏集团  |  67.1%   |       | 10.1  | 10.1  |  2.2  | 10.0  |  4.0  | 10.0  | -2.1  |  3.5  |  5.8  |
|   通信设备   | 300565 |  科信技术  |  66.8%   |  3.7  | 14.3  |  3.0  | -2.5  |  9.3  |  1.2  | 15.9  |  5.2  | -0.3  |  4.1  |
|   电网设备   | 688226 |  威腾电气  |  60.8%   |       |       |       | 20.0  | 20.0  | -6.2  | 10.2  |  3.4  |  4.5  |  0.0  |
|    半导体    | 688041 |   N海光    |  60.1%   |       |       |       |       |       | 66.9  | -5.5  |  6.8  | -5.0  |  0.0  |
|   专用设备   | 688160 |  步科股份  |  60.0%   | -8.0  |  1.9  | 20.0  | 10.3  | 12.5  |  3.2  |  0.4  |  0.4  |  8.4  |  1.7  |
|   农药兽药   | 002868 |  绿康生化  |  56.7%   | 10.0  | 10.0  | 10.0  | 10.0  |  2.3  | 10.0  |  8.1  | -3.6  | -1.2  | -7.6  |
|   通用设备   | 300421 |  力星股份  |  50.8%   |       | 11.7  |  6.1  | 20.0  |  8.2  | 13.8  |  0.1  | -8.9  | -6.5  |  1.1  |
|  汽车零部件  | 688071 |  华依科技  |  48.5%   |  9.7  |  0.6  | -1.2  | -0.0  |  6.4  |  3.8  |  1.4  |  3.4  | 13.7  |  3.5  |
|   专用设备   | 002689 |  远大智能  |  48.4%   |  5.7  |  0.9  | 10.0  | 10.0  | 10.0  | 10.0  | -3.0  | -5.8  | -5.5  | 10.1  |
|  计算机设备  | 001339 |   N智微    |  47.4%   |       | 44.0  | 10.0  | 10.0  |  2.2  | -8.6  |  0.7  | -6.7  | -3.1  | -0.6  |
|   消费电子   | 002866 |  传艺科技  |  43.0%   |  3.9  |  4.0  |  7.4  | -2.9  | 10.0  | 10.0  | 10.0  | -2.1  | -4.6  |  2.1  |
|     电池     | 688772 |  珠海冠宇  |  42.8%   |       |       |       |       | 20.0  | -2.4  | 10.3  |  2.8  |  6.3  |  1.1  |
|   化学制品   | 603255 |  N鼎际得   |  41.3%   |       |       |       |       | 44.0  | 10.0  | -4.3  | 10.0  | -10.0 | -5.9  |
|   专用设备   | 688596 |  正帆科技  |  37.3%   |  8.7  |  4.9  |  1.0  | 12.8  |  7.8  | -2.5  |  1.6  | -5.0  |  1.6  |  2.6  |
